origin,destination,km,km_road,km_rail,km_pipe
6,81,548.942,26.3031,0.0,487.38
6,82,392.354,20.4308,286.989,14.8631
6,83,391.871,19.1426,286.989,16.7214
6,84,512.707,94.6161,286.989,36.9302
6,85,476.868,27.3757,0.0,418.405
7,1,1025.81,23.1732,286.989,665.148
7,2,283.21,23.1732,0.0,242.675
7,3,1087.28,23.1732,286.989,727.687
7,4,1002.49,23.9395,286.989,652.002
7,5,1182.97,23.1732,286.989,823.348
7,6,1021.49,23.1732,286.989,657.809
7,7,1026.62,23.1732,286.989,663.697
7,8,1014.94,23.1732,286.989,655.223
7,9,1026.62,23.1732,286.989,663.697
7,10,1033.79,23.1732,286.989,673.429
7,11,1054.43,23.1732,286.989,682.609
7,12,1183.1,23.1732,286.989,823.393
7,13,1076.74,23.1732,286.989,688.932
7,14,1048.68,23.1732,286.989,677.074
7,15,1030.04,23.1732,286.989,658.505
7,16,352.975,23.1732,0.0,308.276
7,17,383.115,23.1732,0.0,342.97
7,18,219.831,23.1732,0.0,183.541
7,19,311.051,23.1732,0.0,274.265
7,20,618.225,339.111,0.0,264.761
7,21,335.187,23.1732,0.0,298.496
7,22,336.624,23.1732,0.0,300.02
7,23,1076.57,23.1732,286.989,717.625
7,24,279.274,23.1732,0.0,238.783
7,25,221.2,23.1732,0.0,184.182
7,26,335.933,23.1732,0.0,299.519
7,27,1023.37,23.1732,286.989,663.422
7,28,713.628,23.1732,0.0,652.002
7,29,1040.81,23.1732,286.989,681.981
7,30,1087.09,23.1732,286.989,728.042
7,31,220.119,23.1732,0.0,183.765
7,32,336.608,23.1732,0.0,300.02
7,33,1029.15,23.1732,286.989,668.737
7,34,807.37,111.913,0.0,652.002
7,35,696.394,23.1732,0.0,652.002
7,36,196.768,23.1732,0.0,157.249
7,37,1054.28,23.1732,286.989,688.932
7,38,1049.19,23.1732,286.989,679.351
7,39,336.557,23.1732,0.0,299.583
7,40,382.215,23.1732,0.0,340.624
7,41,301.065,23.1732,0.0,264.761
7,42,537.74,23.1732,0.0,501.491
7,43,1173.01,23.1732,286.989,812.767
7,44,1043.93,23.1732,286.989,680.612
7,45,381.076,23.1732,0.0,342.97
7,46,217.091,23.1732,0.0,174.259
7,47,1339.07,23.1732,286.989,972.511
7,48,1087.22,23.1732,286.989,727.688
7,49,1212.52,23.1732,286.989,851.804
7,50,1023.34,23.1732,286.989,663.87
7,51,1027.16,23.1732,286.989,664.167
7,52,283.248,23.1732,0.0,242.617
7,53,328.146,23.1732,0.0,285.808
7,54,336.143,23.1732,0.0,298.533
7,55,1030.99,23.1732,286.989,668.723
7,56,1030.62,23.1732,286.989,668.737
7,57,336.939,23.1732,0.0,300.02
7,58,305.29,23.1732,0.0,268.935
7,59,221.071,23.1732,0.0,184.043
7,60,380.715,23.1732,0.0,342.97
7,61,278.825,23.1732,0.0,238.682
7,62,1025.83,23.1732,286.989,665.206
7,63,1091.65,23.1732,286.989,728.248
7,64,1080.63,23.1732,286.989,688.932
7,65,1021.38,23.1732,286.989,657.248
7,66,310.083,23.1732,0.0,272.166
7,67,1024.23,23.1732,286.989,662.812
7,68,239.355,23.1732,0.0,195.563
7,69,697.201,23.1732,0.0,652.002
7,70,1045.82,23.1732,286.989,681.912
7,71,1030.1,23.1732,286.989,668.044
7,72,1030.3,23.1732,286.989,666.865
7,73,1027.24,23.1732,286.989,663.538
7,74,412.41,53.9781,0.0,342.97
7,75,224.688,26.665,0.0,184.043
7,76,281.294,25.1757,0.0,238.783
7,77,336.782,23.2363,0.0,300.02
7,78,621.265,342.618,0.0,264.761
7,79,1189.08,29.1194,286.989,823.393
7,80,356.223,41.9818,0.0,300.02
7,81,389.758,30.3337,0.0,340.624
7,82,1031.93,24.4614,286.989,666.865
7,83,1031.44,23.1732,286.989,668.723
7,84,1152.28,98.6466,286.989,688.932
7,85,317.684,31.4063,0.0,271.649
8,1,955.48,0.039379,286.989,628.898
8,2,212.884,0.039379,0.0,206.425
8,3,1016.96,0.039379,286.989,691.436
8,4,932.168,0.805661,286.989,615.752
8,5,1112.64,0.039379,286.989,787.097
8,6,951.166,0.039379,286.989,621.559
8,7,956.295,0.039379,286.989,627.446
8,8,944.613,0.039379,286.989,618.973
8,9,956.295,0.039379,286.989,627.446
8,10,963.469,0.039379,286.989,637.178
8,11,984.1,0.039379,286.989,646.359
8,12,1112.77,0.039379,286.989,787.143
8,13,1006.41,0.039379,286.989,652.682
8,14,978.356,0.039379,286.989,640.824
8,15,959.711,0.039379,286.989,622.255
8,16,282.649,0.039379,0.0,272.026
8,17,312.789,0.039379,0.0,306.72
8,18,149.505,0.039379,0.0,147.29
8,19,240.725,0.039379,0.0,238.015
8,20,317.548,315.898,0.0,0.0
8,21,264.861,0.039379,0.0,262.245
8,22,266.298,0.039379,0.0,263.769
8,23,1006.24,0.039379,286.989,681.375
8,24,208.948,0.039379,0.0,202.533
8,25,150.874,0.039379,0.0,147.932
8,26,265.607,0.039379,0.0,263.268
8,27,953.046,0.039379,286.989,627.172
8,28,643.302,0.039379,0.0,615.752
8,29,970.489,0.039379,286.989,645.73
8,30,1016.76,0.039379,286.989,691.792
8,31,149.793,0.039379,0.0,147.514
8,32,266.282,0.039379,0.0,263.769
8,33,958.829,0.039379,286.989,632.486
8,34,737.044,88.7796,0.0,615.752
8,35,626.068,0.039379,0.0,615.752
8,36,112.955,0.039379,0.0,107.512
